Dataset,year,url,source_type
LFcc_conus,2012,https://landfire.gov/bulk/downloadfile.php?FNAME=US_130-US_130_CC.zip&TYPE=landfire,weblink
LFcc_conus,2014,https://landfire.gov/bulk/downloadfile.php?FNAME=US_140-US_140_CC.zip&TYPE=landfire,weblink
LFcc_conus,2020,https://landfire.gov/bulk/downloadfile.php?FNAME=US_220_mosaic-LF2022_CC_220_CONUS.zip&TYPE=landfire,weblink
LFbiomass_conus,2001,https://landfire.gov/bulk/downloadfile.php?FNAME=US_105-US_105_CBD.zip&TYPE=landfire,weblink
LFbiomass_conus,2012,https://landfire.gov/bulk/downloadfile.php?FNAME=US_130-US_130_CBD.zip&TYPE=landfire,weblink
LFbiomass_conus,2014,https://landfire.gov/bulk/downloadfile.php?FNAME=US_140-US_140_CBD.zip&TYPE=landfire,weblink
LFbiomass_conus,2020,https://landfire.gov/bulk/downloadfile.php?FNAME=US_220_mosaic-LF2022_CBD_220_CONUS.zip&TYPE=landfire,weblink
Landcover_ABoVE,1984:2014,1UdSQM_5EZXMfhm63OtQUDFyizPqyZByK,googledrive id
Biomass_CONUS,1986:2022,projects/rap-data-365417/assets/vegetation-cover-v3,gee
Biomass_SCANFI,"""c(1985,1990,1995,2000,2005,2010,2015,2020)""",1BBs55yCcqUPZL65Q7wRYNyPOXWogK6Ag,googledrive id
Landcover_hermosilla,1984:2019,projects/sat-io/open-datasets/CA_FOREST_LC_VLCE2/CA_forest_VLCE2_,gee
